,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2024-11-22,34431.895537534474,20364.895669446516,37910.1134098587,39277.21600971722,39177.59554849807,56119.870963944755
2024-11-23,34431.895537534474,20364.895669446516,37848.31627838398,39277.21600971722,39113.96218287319,56031.18851113567
2024-11-24,34431.895537534474,20364.895669446516,37860.29402454239,39277.21600971722,39126.295834653974,56048.377268657336
2024-11-25,34548.69017790592,20257.411743547123,37002.20565190965,38878.2344876361,38300.418858449484,54643.069638578374
2024-11-26,34729.08191215168,20499.84668377272,37324.51127809474,39301.85570842459,38623.68297651807,55088.231441269716
2024-11-27,34623.8542985694,20473.712330573046,37599.63707436329,39025.537463677756,39017.45844058388,55286.56899907614
2024-11-28,34623.8542985694,20354.567340241865,37365.22342946083,39025.537463677756,38910.670550601884,55137.74437034696
2024-11-29,34838.939928693966,20415.730279809053,37541.1564732124,39241.66975363393,38997.92919756297,55479.79743110914
2024-11-30,34838.939928693966,20415.730279809053,37490.3601133398,39241.66975363393,38945.623479432514,55406.90172090747
2024-12-01,34838.939928693966,20415.730279809053,37532.03871553965,39241.66975363393,38988.54051569662,55466.71292224536
2024-12-02,34901.38391213372,20423.19011332411,37362.62705101559,39357.160305648154,38771.69409474599,55311.17260300438
2024-12-03,34917.5741573942,20505.82538370525,37551.62339461893,39493.724762146754,38859.57637097757,55569.741289940226
2024-12-04,35134.394841537134,20546.97203674846,37707.433224250526,39767.62800148097,38808.178399479875,55964.11020918223
2024-12-05,35076.5740765687,20442.649438739838,37327.93049113675,39802.36142684544,38351.30269941422,55613.60914690131
2024-12-06,35143.07011162901,20396.39219672643,37426.52628010628,39973.141355950895,38318.59867317018,55974.790605227
2024-12-07,35143.07011162901,20396.39219672643,37426.65671504526,39973.141355950895,38318.73298384068,55974.97778689783
2024-12-08,35143.07011162901,20396.39219672643,37491.883113123724,39973.141355950895,38385.89751297451,56068.58143534335
2024-12-09,34962.09643379944,20285.403614134542,37277.258086097936,39478.87345659034,38203.62747671394,55510.25410070461
2024-12-10,34853.391527691725,20040.651577164375,36960.33669234537,39113.27309576331,38026.70489571051,55126.36352256998
2024-12-11,35122.831406992314,20167.457723202424,37436.59560908388,39631.26464550067,38282.74813023029,56055.65050003598
2024-12-12,34941.861321407094,20117.116201395103,37190.99305996819,39501.99539872663,37994.11813981552,55671.28162680866
2024-12-13,34934.92110533359,20186.318098478067,37272.13056100073,39503.9643438165,38027.54798473625,55680.46585985054
2024-12-14,34934.92110533359,20186.318098478067,37267.86177805669,39503.9643438165,38023.152359577456,55674.33990977886
2024-12-15,34934.92110533359,20186.318098478067,37412.59960794029,39503.9643438165,38172.19091571989,55882.04705511125
2024-12-16,35084.09264398165,20375.31082196308,37765.824637942205,39806.94960942124,38270.501198421094,56351.97089186424
2024-12-17,34939.54432380491,20262.199068570168,37598.352726717254,39692.36730313182,38157.11511331071,56191.174957487616
2024-12-18,33898.22094098841,19737.425054358693,36750.174347836124,38507.710307462,37522.8694978455,54781.37347122577
2024-12-19,33887.81420912251,19962.27779902043,36873.02719521607,39007.73991184023,37576.50198843007,55033.69859917865
