rebalance_date,selected_assets,sample_members
2020-02-28,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, KBANK.BK, SCC.BK, ADVANC.BK, IVL.BK, EA.BK"
2020-03-31,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, KBANK.BK, SCC.BK, ADVANC.BK, IVL.BK, EA.BK"
2020-04-30,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, KBANK.BK, SCC.BK, ADVANC.BK, IVL.BK, BDMS.BK"
2020-05-29,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, KBANK.BK, SCC.BK, ADVANC.BK, IVL.BK, BDMS.BK"
2020-06-30,30,"CPALL.BK, PTT.BK, AOT.BK, PTTGC.BK, KBANK.BK, PTTEP.BK, ADVANC.BK, SCC.BK, IVL.BK, BBL.BK"
2020-07-31,30,"CPALL.BK, PTT.BK, AOT.BK, PTTEP.BK, PTTGC.BK, KBANK.BK, ADVANC.BK, SCC.BK, IVL.BK, BBL.BK"
2020-08-31,30,"CPALL.BK, PTT.BK, AOT.BK, KBANK.BK, PTTEP.BK, PTTGC.BK, ADVANC.BK, SCC.BK, IVL.BK, BBL.BK"
2020-09-30,30,"CPALL.BK, PTT.BK, AOT.BK, KBANK.BK, PTTEP.BK, PTTGC.BK, ADVANC.BK, SCC.BK, BBL.BK, IVL.BK"
2020-10-30,30,"CPALL.BK, PTT.BK, AOT.BK, KBANK.BK, PTTEP.BK, PTTGC.BK, ADVANC.BK, SCC.BK, BBL.BK, IVL.BK"
2020-11-30,30,"CPALL.BK, AOT.BK, PTT.BK, KBANK.BK, PTTGC.BK, PTTEP.BK, ADVANC.BK, SCC.BK, BBL.BK, CPF.BK"
2020-12-31,30,"AOT.BK, CPALL.BK, PTT.BK, KBANK.BK, ADVANC.BK, PTTGC.BK, PTTEP.BK, SCC.BK, CPF.BK, BBL.BK"
2021-01-29,30,"CPALL.BK, PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, PTTEP.BK, PTTGC.BK, SCC.BK, GPSC.BK, CPF.BK"
2021-02-26,30,"PTT.BK, CPALL.BK, AOT.BK, KBANK.BK, ADVANC.BK, PTTEP.BK, PTTGC.BK, SCC.BK, GPSC.BK, CPF.BK"
2021-03-31,30,"CPALL.BK, PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, PTTEP.BK, PTTGC.BK, GPSC.BK, SCC.BK, CPF.BK"
2021-04-30,30,"CPALL.BK, AOT.BK, PTT.BK, KBANK.BK, ADVANC.BK, PTTEP.BK, GPSC.BK, SCC.BK, PTTGC.BK, BBL.BK"
2021-05-31,30,"PTT.BK, CPALL.BK, AOT.BK, KBANK.BK, ADVANC.BK, GPSC.BK, PTTEP.BK, CPF.BK, PTTGC.BK, SCC.BK"
2021-06-30,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, GPSC.BK, PTTEP.BK, PTTGC.BK, CPF.BK, BBL.BK"
2021-07-30,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, GPSC.BK, PTTGC.BK, CPF.BK, PTTEP.BK, BBL.BK"
2021-08-31,30,"PTT.BK, AOT.BK, KBANK.BK, CPALL.BK, GPSC.BK, ADVANC.BK, PTTGC.BK, CPF.BK, BBL.BK, SCC.BK"
2021-09-30,30,"PTT.BK, KBANK.BK, AOT.BK, CPALL.BK, ADVANC.BK, GPSC.BK, PTTGC.BK, BBL.BK, CPF.BK, PTTEP.BK"
2021-10-29,30,"PTT.BK, KBANK.BK, AOT.BK, CPALL.BK, PTTGC.BK, ADVANC.BK, BBL.BK, GPSC.BK, CPF.BK, PTTEP.BK"
2021-11-30,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, BBL.BK, ADVANC.BK, GPSC.BK, CPF.BK, PTTEP.BK"
2021-12-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, ADVANC.BK, PTTGC.BK, BBL.BK, CPF.BK, GPSC.BK, SCC.BK"
2022-01-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTGC.BK, ADVANC.BK, SCC.BK, PTTEP.BK, GPSC.BK"
2022-02-28,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTGC.BK, ADVANC.BK, PTTEP.BK, SCC.BK, GPSC.BK"
2022-03-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTGC.BK, ADVANC.BK, PTTEP.BK, SCC.BK, GPSC.BK"
2022-04-29,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTGC.BK, ADVANC.BK, PTTEP.BK, SCC.BK, EA.BK"
2022-05-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, ADVANC.BK, PTTEP.BK, PTTGC.BK, SCC.BK, EA.BK"
2022-06-30,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTEP.BK, ADVANC.BK, SCC.BK, PTTGC.BK, EA.BK"
2022-07-29,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, BBL.BK, PTTEP.BK, ADVANC.BK, SCC.BK, PTTGC.BK, EA.BK"
2022-08-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BBL.BK, ADVANC.BK, BANPU.BK, SCC.BK, EA.BK"
2022-09-30,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BBL.BK, BANPU.BK, ADVANC.BK, SCC.BK, EA.BK"
2022-10-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, ADVANC.BK, EA.BK, SCC.BK"
2022-11-30,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, EA.BK, ADVANC.BK, SCC.BK"
2022-12-30,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BBL.BK, BANPU.BK, EA.BK, ADVANC.BK, SCC.BK"
2023-01-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, ADVANC.BK, EA.BK, DELTA.BK"
2023-02-28,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, DELTA.BK, ADVANC.BK, EA.BK"
2023-03-31,30,"KBANK.BK, PTT.BK, AOT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, DELTA.BK, ADVANC.BK, EA.BK"
2023-04-28,30,"KBANK.BK, AOT.BK, PTT.BK, CPALL.BK, PTTEP.BK, BANPU.BK, BBL.BK, ADVANC.BK, DELTA.BK, EA.BK"
2023-05-31,30,"KBANK.BK, AOT.BK, PTT.BK, CPALL.BK, PTTEP.BK, DELTA.BK, BANPU.BK, ADVANC.BK, BBL.BK, EA.BK"
2023-06-30,30,"KBANK.BK, AOT.BK, PTT.BK, CPALL.BK, PTTEP.BK, DELTA.BK, ADVANC.BK, BANPU.BK, BBL.BK, EA.BK"
2023-07-31,30,"KBANK.BK, AOT.BK, CPALL.BK, PTT.BK, PTTEP.BK, DELTA.BK, BBL.BK, ADVANC.BK, BDMS.BK, BANPU.BK"
2023-08-31,30,"KBANK.BK, AOT.BK, CPALL.BK, PTT.BK, PTTEP.BK, DELTA.BK, BBL.BK, BDMS.BK, ADVANC.BK, BANPU.BK"
2023-09-29,30,"KBANK.BK, AOT.BK, CPALL.BK, PTTEP.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, EA.BK"
2023-10-31,30,"KBANK.BK, PTTEP.BK, AOT.BK, CPALL.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, EA.BK"
2023-11-30,30,"KBANK.BK, PTTEP.BK, AOT.BK, CPALL.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, BANPU.BK"
2023-12-29,30,"KBANK.BK, PTTEP.BK, AOT.BK, CPALL.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, BANPU.BK"
2024-01-31,30,"KBANK.BK, PTTEP.BK, AOT.BK, CPALL.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-02-29,30,"KBANK.BK, AOT.BK, PTTEP.BK, PTT.BK, CPALL.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-03-29,30,"KBANK.BK, PTTEP.BK, AOT.BK, PTT.BK, CPALL.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-04-30,30,"PTTEP.BK, KBANK.BK, AOT.BK, CPALL.BK, PTT.BK, DELTA.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-05-31,30,"KBANK.BK, PTTEP.BK, CPALL.BK, DELTA.BK, AOT.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-06-28,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-07-31,30,"CPALL.BK, AOT.BK, DELTA.BK, KBANK.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-08-30,30,"CPALL.BK, DELTA.BK, AOT.BK, PTTEP.BK, KBANK.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-09-30,30,"CPALL.BK, AOT.BK, DELTA.BK, PTTEP.BK, KBANK.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-10-31,30,"CPALL.BK, DELTA.BK, AOT.BK, PTTEP.BK, KBANK.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-11-29,30,"CPALL.BK, DELTA.BK, AOT.BK, KBANK.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, ADVANC.BK, SCB.BK"
2024-12-31,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, BDMS.BK, PTT.BK, ADVANC.BK, BBL.BK, SCB.BK"
2025-01-31,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, BDMS.BK, PTT.BK, ADVANC.BK, BBL.BK, SCB.BK"
2025-02-28,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, BDMS.BK, PTT.BK, ADVANC.BK, BBL.BK, SCB.BK"
2025-03-31,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, PTT.BK, BDMS.BK, ADVANC.BK, BBL.BK, SCB.BK"
2025-04-30,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, PTT.BK, BDMS.BK, ADVANC.BK, BBL.BK, SCB.BK"
2025-05-30,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, PTT.BK, ADVANC.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-06-30,30,"CPALL.BK, DELTA.BK, KBANK.BK, AOT.BK, PTTEP.BK, ADVANC.BK, PTT.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-07-31,30,"DELTA.BK, CPALL.BK, KBANK.BK, AOT.BK, ADVANC.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-08-29,30,"DELTA.BK, CPALL.BK, KBANK.BK, ADVANC.BK, AOT.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-09-30,30,"DELTA.BK, CPALL.BK, KBANK.BK, ADVANC.BK, AOT.BK, PTTEP.BK, PTT.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-10-31,30,"DELTA.BK, CPALL.BK, KBANK.BK, ADVANC.BK, AOT.BK, PTT.BK, PTTEP.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-11-28,30,"DELTA.BK, CPALL.BK, ADVANC.BK, KBANK.BK, AOT.BK, PTT.BK, PTTEP.BK, BDMS.BK, BBL.BK, SCB.BK"
2025-12-31,30,"DELTA.BK, CPALL.BK, ADVANC.BK, KBANK.BK, AOT.BK, PTT.BK, PTTEP.BK, BDMS.BK, BBL.BK, SCB.BK"
2026-01-30,30,"DELTA.BK, CPALL.BK, ADVANC.BK, KBANK.BK, AOT.BK, PTT.BK, BDMS.BK, PTTEP.BK, BBL.BK, SCB.BK"
2026-02-27,30,"DELTA.BK, KBANK.BK, CPALL.BK, ADVANC.BK, AOT.BK, PTT.BK, PTTEP.BK, BDMS.BK, BBL.BK, SCB.BK"
2026-03-31,30,"DELTA.BK, KBANK.BK, CPALL.BK, ADVANC.BK, AOT.BK, PTT.BK, BDMS.BK, PTTEP.BK, BBL.BK, SCB.BK"
2026-04-30,30,"DELTA.BK, KBANK.BK, ADVANC.BK, CPALL.BK, AOT.BK, PTT.BK, PTTEP.BK, BDMS.BK, BBL.BK, SCB.BK"
